budget,genres,movie_id,original_language,popularity,production_companies,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
1500000,"Drama, Horror, Mystery, Thriller",301325,de,2.82,"AST Studios, Lowland Pictures",2015-11-20,0,90,Released,Death is trending.,#Horror,3.3,52
7500000,"Comedy, Drama, Romance",19913,en,45.61,"Dune Entertainment III, Fox Searchlight Pictures, Watermark",2009-07-17,60722734,95,Released,It was almost like falling in love.,(500) Days of Summer,7.2,2904
15000000,"Drama, Science Fiction, Thriller",333371,en,53.7,"Bad Robot, Paramount Pictures, Spectrum Effects",2016-03-10,108286421,103,Released,Monsters come in many forms.,10 Cloverfield Lane,6.8,2468
1200000,Drama,345003,en,0.49,Unknown,2015-11-20,0,111,Released,,10 Days in a Madhouse,4.3,5
16000000,"Comedy, Drama, Romance",4951,en,54.55,"Jaret Entertainment, Mad Chance, Touchstone Pictures",1999-03-30,53478166,97,Released,How do I loathe thee? Let me count the ways.,10 Things I Hate About You,7.3,1701
85000000,"Comedy, Family",10481,en,9.9,"Cruella Productions, Walt Disney Pictures",2000-10-07,183611771,100,Released,Meet Two Unlikely Heroes With A Bone To Pick.,102 Dalmatians,5.1,313
8000000,"Action, Crime, Drama, Mystery, Thriller",13197,en,3.94,Thinkfilm,2006-02-19,143451,107,Released,"The Intersection Where Family, Honor and Betrayal Collide.",10th & Wolf,6.3,24
6000000,"Crime, Drama, Thriller",9282,en,15.05,"Firm Films, MDP Worldwide, Media 8 Entertainment",2003-05-16,0,86,Released,Fate can change in seconds.,11:14,6.8,206
350000,Drama,389,en,59.26,"Orion-Nova Productions, United Artists",1957-03-25,1000000,96,Released,Life is in their hands. Death is on their minds.,12 Angry Men,8.2,2078
20000000,"Action, Adventure, Drama, Thriller",17134,en,15.66,"20th Century Fox Home Entertainment, Fox Atomic, Midnight Sun Pictures, The Mark Gordon Company, WWE Studios",2009-03-19,17280326,108,Released,Survive all 12,12 Rounds,5.7,220
20000000,"Drama, History",76203,en,95.92,"Film4, New Regency Pictures, Plan B Entertainment, Regency Enterprises, River Road Entertainment",2013-10-18,187000000,134,Released,The extraordinary true story of Solomon Northup,12 Years a Slave,7.9,3674
18000000,"Adventure, Drama, Thriller",44115,en,52.46,"Cloud Eight Films, Everest Entertainment, Film4, Fox Searchlight Pictures, HandMade Films, Pathé, Warner Bros.",2010-11-05,35692920,94,Released,There is no force more powerful than the will to live.,127 Hours,7.0,2606
37000000,"Comedy, Fantasy, Romance",10096,en,41.57,"Columbia Pictures, Revolution Studios, Thirteen Productions",2004-04-13,96455697,98,Released,"For some, 13 feels like it was just yesterday. For Jenna, it was.",13 Going on 30,6.3,1204
50000000,"Action, Drama, History, Thriller, War",300671,en,42.53,"3 Arts Entertainment, Bay Films, Dune Films, Latina Pictures, Paramount Pictures",2016-01-13,69411370,144,Released,"When everything went wrong, six men had the courage to do what was right.",13 Hours: The Secret Soldiers of Benghazi,7.0,938
25000000,"Horror, Thriller",3021,en,35.17,"Di Bonaventura Pictures, Dimension Films, The Weinstein Company",2007-07-12,94679598,104,Released,The only demons in room 1408 are those within you.,1408,6.5,1343
60000000,"Action, Crime, Thriller",2749,en,15.21,"Industry Entertainment, New Line Cinema, New Redemption Pictures, Tribeca Productions",2001-03-01,56359980,120,Released,America Likes to Watch,15 Minutes,5.7,191
55000000,"Action, Adventure, Crime, Thriller",2207,en,32.31,"16 Block Productions, Alcon Entertainment, Cheyenne Enterprises, Donners' Company, Emmett/Furla Films, Equity Pictures Medienfonds GmbH & Co. KG III, Millennium Films, Nu Image Entertainment GmbH",2006-03-01,65664721,105,Released,"For a New York cop and his witness, the distance between life and death just got very short.",16 Blocks,6.2,661
0,"Comedy, Romance",91122,en,0.11,Duck Farm Films,2009-09-19,0,118,Released,,16 to Life,4.4,5
20000000,Comedy,16996,en,52.57,"New Line Cinema, Offspring Entertainment",2009-03-11,136267476,102,Released,Who says you're only young once?,17 Again,6.1,1350
0,"Comedy, Drama, History, Music",14902,en,1.81,Columbia Pictures Corporation,1972-11-09,0,142,Released,The award winning musical comes to the screen!,1776,7.1,20
30000000,"Action, Adventure, Drama, History, War",76349,zh,4.07,Variance Films,2011-07-03,108348,125,Released,Fall of the Last Empire,1911,5.0,41
35000000,"Action, Comedy",11519,en,10.03,"A-Team, Columbia Pictures, Universal Pictures",1979-12-13,31755742,113,Released,Paranoia meets pandemonium.,1941,5.6,143
1000000,Drama,215918,en,0.18,Unknown,2013-12-31,0,90,Released,,1982,5.0,1
76000000,"Action, Crime, Thriller",584,en,10.52,"Ardustry Entertainment, Mikona Productions GmbH & Co. KG, Original Film, Universal Pictures",2003-06-05,236350661,107,Released,How Fast Do You Want It?,2 Fast 2 Furious,6.2,2028
61000000,"Action, Comedy, Crime",136400,en,42.88,"Emmett/Furla Films, Envision Entertainment Corporation, Marc Platt Productions, Universal Studios",2013-08-02,131940411,109,Released,"2 Guns, 1 Bank.",2 Guns,6.6,1589
0,"Comedy, Romance",111794,en,0.41,"Fox Searchlight Pictures, Phoenician Films, Twentieth Century Fox Film Corporation",1998-01-01,0,87,Released,A comedy so real you'll think it's fiction.,20 Dates,3.7,3
1000000,"Documentary, Music",159014,en,5.25,Tremolo Productions,2013-06-14,0,89,Released,,20 Feet from Stardom,7.4,85
5000000,"Adventure, Drama, Science Fiction",173,en,9.36,Walt Disney Productions,1954-12-23,28200000,127,Released,The mightiest motion picture of them all!,"20,000 Leagues Under the Sea",6.8,157
