station_id,type,name,line,branch,inbranch_id,time,has_toilet,is_open,x,y
1,single,富锦路,1号线,main,1,0,0,1,15150,23800
2,single,友谊西路,1号线,main,2,2,0,1,15150,23225
3,single,宝安公路,1号线,main,3,4,0,1,15150,22650
4,single,共富新村,1号线,main,4,7,0,1,15150,22075
5,single,呼兰路,1号线,main,5,10,0,1,15150,21500
6,transfer,通河新村,1号线,main,6,12,0,1,15100,20925
7,single,共康路,1号线,main,7,15,0,1,15150,20350
8,single,彭浦新村,1号线,main,8,17,0,1,15150,19775
9,single,汶水路,1号线,main,9,20,0,1,15150,19200
10,single,上海马戏城,1号线,main,10,23,0,1,15150,18625
11,single,延长路,1号线,main,11,25,0,1,15150,18050
12,single,中山北路,1号线,main,12,27,0,1,14850,17350
13,transfer,上海火车站,1号线,main,13,30,0,1,14363.3884,16863.3883
14,transfer,汉中路,1号线,main,14,31,0,1,14325,16075
15,single,新闸路,1号线,main,15,33,0,1,14625,15700
16,transfer,人民广场,1号线,main,16,35,0,1,14900,15000
17,transfer,黄陂南路,1号线,main,17,37,0,1,14625,14350
18,transfer,陕西南路,1号线,main,18,39,0,1,13575,14400
19,transfer,常熟路,1号线,main,19,41,0,1,12900,14350
20,single,衡山路,1号线,main,20,43,0,1,12375,13900
21,transfer,徐家汇,1号线,main,21,45,0,1,11900,13525
22,transfer,上海体育馆,1号线,main,22,48,0,1,11339.6447,12864.6447
23,transfer,漕宝路,1号线,main,23,51,0,1,11000,11800
24,transfer,上海南站,1号线,main,24,54,0,1,10589.6447,11335.3553
25,single,锦江乐园,1号线,main,25,57,0,1,10150,10825
26,single,莲花路,1号线,main,26,60,0,1,9675,10350
27,single,外环路,1号线,main,27,62,0,1,9200,9875
28,transfer,莘庄,1号线,main,28,64,0,1,8725,9400
29,single,徐泾东,2号线,main,1,0,0,1,7225,14925
30,transfer,虹桥火车站,2号线,main,2,3,1,1,7625,14925
31,transfer,虹桥2号航站楼,2号线,main,3,,0,1,8025,14937.5
32,single,淞虹路,2号线,main,4,,1,1,8450,16325
33,single,北新泾,2号线,main,5,,0,1,9075,16325
34,single,威宁路,2号线,main,6,,0,1,9625,16150
35,single,娄山关路,2号线,main,7,,0,1,10125,15700
36,transfer,中山公园,2号线,main,8,,0,1,10825,15700
37,transfer,江苏路,2号线,main,9,,0,1,11935.3554,15339.6447
38,transfer,静安寺,2号线,main,10,,0,1,12900,15000
39,transfer,南京西路,2号线,main,11,,0,1,13975,15000
16,transfer,人民广场,2号线,main,12,,0,1,15000,15000
40,transfer,南京东路,2号线,main,13,,0,1,15650,15000
41,transfer,陆家嘴,2号线,main,14,,0,1,17064.6447,14835.3553
42,single,东昌路,2号线,main,15,,0,1,17475,14425
43,transfer,世纪大道,2号线,main,16,,0,1,17885.3554,14085.35533
44,single,上海科技馆,2号线,main,17,,0,1,18700,12800
45,single,世纪公园,2号线,main,18,,0,1,18700,12250
46,transfer,龙阳路,2号线,main,19,,0,1,19025,11675
47,single,张江高科,2号线,main,20,,0,1,19675,11725
48,single,金科路,2号线,main,21,,0,1,20325,11725
49,single,广兰路,2号线,main,22,,0,1,20975,11725
50,single,唐镇,2号线,main,23,,0,1,21625,11725
51,single,创新中路,2号线,main,24,,0,1,22275,11725
52,single,华夏东路,2号线,main,25,,1,1,22575,11250
53,single,川沙,2号线,main,26,,0,1,22875,10775
54,single,凌空路,2号线,main,27,,0,1,23525,10775
55,single,远东大道,2号线,main,28,,0,1,24175,10775
56,single,海天三路,2号线,main,29,,0,1,24525,10350
57,single,浦东国际机场,2号线,main,30,,0,1,24525,9700
58,single,江杨北路,3号线,main,1,,0,1,17925,23825
59,single,铁力路,3号线,main,2,,0,1,18250,23500
60,single,友谊路,3号线,main,3,,0,1,18250,22950
61,single,宝杨路,3号线,main,4,,0,1,18250,22400
62,single,水产路,3号线,main,5,,0,1,18250,21850
63,single,淞滨路,3号线,main,6,,0,1,18250,21300
64,single,张华浜,3号线,main,7,,0,1,18075,20850
65,single,淞发路,3号线,main,8,,0,1,17675,20450
66,transfer,长江南路,3号线,main,9,,0,1,17310.3554,20014.6447
67,single,殷高西路,3号线,main,10,,0,1,17275,19525
68,single,江湾镇,3号线,main,11,,0,1,17275,19000
69,single,大柏树,3号线,main,12,,0,1,17275,18475
70,single,赤峰路,3号线,main,13,,0,1,17100,17975
71,transfer,虹口足球场,3号线,main,14,,0,1,16550,17375
72,single,东宝兴路,3号线,main,15,,0,1,16050,16925
73,transfer,宝山路,3号线,main,16,,0,1,15475,16475
13,transfer,上海火车站,3号线,main,17,,0,1,14434.0991,16934.099
74,transfer,中潭路,3号线,main,18,,0,1,13750,17150
75,transfer,镇坪路,3号线,main,19,,0,1,12950,17200
76,transfer,曹杨路,3号线,main,20,,0,1,11900,17200
77,transfer,金沙江路,3号线,main,21,,0,1,11064.6447,16710.3553
36,transfer,中山公园,3号线,main,22,,0,1,10725,15700
78,transfer,延安西路,3号线,main,23,,0,1,10775,14975
79,transfer,虹桥路,3号线,main,24,,0,1,10725,14250
80,transfer,宜山路,3号线,main,25,,0,1,10932.3224,13132.3223
81,single,漕溪路,3号线,main,26,,0,1,11300,12300
82,transfer,龙漕路,3号线,main,27,,0,1,11600,11850
83,single,石龙路,3号线,main,28,,0,1,11275,11425
24,transfer,上海南站,3号线,main,29,,0,1,10731.0661,11193.934
76,transfer,曹杨路,4号线,main,1,,0,1,11900,17000
77,transfer,金沙江路,4号线,main,2,,0,1,11206.0661,16568.934
36,transfer,中山公园,4号线,main,3,,0,1,10925,15700
78,transfer,延安西路,4号线,main,4,,0,1,10875,14975
79,transfer,虹桥路,4号线,main,5,,0,1,10925,14250
80,transfer,宜山路,4号线,main,6,,0,1,11073.7437,13273.7437
22,transfer,上海体育馆,4号线,main,7,,0,1,11410.3554,12935.3553
84,single,上海体育场,4号线,main,8,,0,1,12225,12650
85,transfer,东安路,4号线,main,9,,0,1,13000,12650
86,transfer,大木桥路,4号线,main,10,,0,1,13625,12650
87,single,鲁班路,4号线,main,11,,0,1,14350,12650
88,transfer,西藏南路,4号线,main,12,,0,1,15100,12650
89,single,南浦大桥,4号线,main,13,,0,1,15800,12650
90,single,塘桥,4号线,main,14,,0,1,16700,12350
91,transfer,蓝村路,4号线,main,15,,0,1,17570.7107,12579.2893
92,single,浦电路,4号线,main,16,,0,1,18095.7107,13104.2893
43,transfer,世纪大道,4号线,main,17,,0,1,17956.0661,14156.066
93,transfer,浦东大道,4号线,main,18,,0,1,17800,14850
94,single,杨树浦路,4号线,main,19,,0,1,17800,15600
95,transfer,大连路,4号线,main,20,,0,1,17389.6447,16010.3553
96,single,临平路,4号线,main,21,,0,1,17025,16375
97,transfer,海伦路,4号线,main,22,,0,1,16325,16375
73,transfer,宝山路,4号线,main,23,,0,1,15475,16375
13,transfer,上海火车站,4号线,main,24,,0,1,14275,16775
74,transfer,中潭路,4号线,main,25,,0,1,13750,17050
75,transfer,镇坪路,4号线,main,26,,0,1,12950,17000
98,single,江川路,5号线,b-s,1,,0,0,8725,5975
99,single,西渡,5号线,b-s,2,,0,0,8725,5325
100,single,萧塘,5号线,b-s,3,,0,0,8725,4850
101,single,奉浦大道,5号线,b-s,4,,0,0,8725,4375
102,single,环城东路,5号线,b-s,5,,0,0,9025,4075
103,single,望园路,5号线,b-s,6,,0,0,9500,4075
104,single,金海湖,5号线,b-s,7,,0,0,9800,3775
105,single,奉贤新城,5号线,b-s,8,,0,0,9800,3300
106,single,金平路,5号线,b-sw,1,,0,1,8350,6200
107,single,华宁路,5号线,b-sw,2,,0,1,7900,6200
108,single,文井路,5号线,b-sw,3,,0,1,7450,6200
109,single,闵行开发区,5号线,b-sw,4,,0,1,7000,6200
28,transfer,莘庄,5号线,main,1,,0,1,8725,9300
