time,topic_index,number,content,y0,y1
2017-03,0,11,vote republican senat hous win elect gener democrat john let,144.5,161.0
2017-03,1,19,time look join day live forward realdonaldtrump nation tonight women,176.0,204.5
2017-03,2,13,peopl countri mani good great new secur border militari bad,219.5,239.0
2017-03,3,16,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,254.0,278.0
2017-03,4,5,north meet korea china discuss includ presid big leav readi,293.0,300.5
2017-03,5,21,tax cut obamacar healthcar work great republican plan big american,315.5,347.0
2017-03,6,8,democrat deal russia want obama dem russian talk polit hillari,362.0,374.0
2017-03,7,13,news job fake media year report stori like elect market,389.0,408.5
2017-03,8,7,great congratul thank peopl nation work night florida minist prime,423.5,434.0
2017-03,9,21,great thank america make state today honor unit presid whitehous,449.0,480.5
2017-04,0,18,vote republican senat hous win elect gener democrat john let,145.25,172.25
2017-04,1,17,time look join day live forward realdonaldtrump nation tonight women,187.25,212.75
2017-04,2,19,peopl countri mani good great new secur border militari bad,227.75,256.25
2017-04,3,11,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,271.25,287.75
2017-04,4,8,north meet korea china discuss includ presid big leav readi,302.75,314.75
2017-04,5,10,tax cut obamacar healthcar work great republican plan big american,329.75,344.75
2017-04,6,10,democrat deal russia want obama dem russian talk polit hillari,359.75,374.75
2017-04,7,11,news job fake media year report stori like elect market,389.75,406.25
2017-04,8,6,great congratul thank peopl nation work night florida minist prime,421.25,430.25
2017-04,9,23,great thank america make state today honor unit presid whitehous,445.25,479.75
2017-05,0,18,vote republican senat hous win elect gener democrat john let,149.75,176.75
2017-05,1,13,time look join day live forward realdonaldtrump nation tonight women,191.75,211.25
2017-05,2,14,peopl countri mani good great new secur border militari bad,226.25,247.25
2017-05,3,10,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,262.25,277.25
2017-05,4,7,north meet korea china discuss includ presid big leav readi,292.25,302.75
2017-05,5,15,tax cut obamacar healthcar work great republican plan big american,317.75,340.25
2017-05,6,6,democrat deal russia want obama dem russian talk polit hillari,355.25,364.25
2017-05,7,19,news job fake media year report stori like elect market,379.25,407.75
2017-05,8,8,great congratul thank peopl nation work night florida minist prime,422.75,434.75
2017-05,9,17,great thank america make state today honor unit presid whitehous,449.75,475.25
2017-06,0,24,vote republican senat hous win elect gener democrat john let,105.5,141.5
2017-06,1,20,time look join day live forward realdonaldtrump nation tonight women,156.5,186.5
2017-06,2,29,peopl countri mani good great new secur border militari bad,201.5,245.0
2017-06,3,21,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,260.0,291.5
2017-06,4,8,north meet korea china discuss includ presid big leav readi,306.5,318.5
2017-06,5,18,tax cut obamacar healthcar work great republican plan big american,333.5,360.5
2017-06,6,19,democrat deal russia want obama dem russian talk polit hillari,375.5,404.0
2017-06,7,18,news job fake media year report stori like elect market,419.0,446.0
2017-06,8,7,great congratul thank peopl nation work night florida minist prime,461.0,471.5
2017-06,9,22,great thank america make state today honor unit presid whitehous,486.5,519.5
2017-07,0,41,vote republican senat hous win elect gener democrat john let,80.75,142.25
2017-07,1,17,time look join day live forward realdonaldtrump nation tonight women,157.25,182.75
2017-07,2,37,peopl countri mani good great new secur border militari bad,197.75,253.25
2017-07,3,14,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,268.25,289.25
2017-07,4,18,north meet korea china discuss includ presid big leav readi,304.25,331.25
2017-07,5,19,tax cut obamacar healthcar work great republican plan big american,346.25,374.75
2017-07,6,8,democrat deal russia want obama dem russian talk polit hillari,389.75,401.75
2017-07,7,30,news job fake media year report stori like elect market,416.75,461.75
2017-07,8,12,great congratul thank peopl nation work night florida minist prime,476.75,494.75
2017-07,9,23,great thank america make state today honor unit presid whitehous,509.75,544.25
2017-08,0,10,vote republican senat hous win elect gener democrat john let,79.25,94.25
2017-08,1,33,time look join day live forward realdonaldtrump nation tonight women,109.25,158.75
2017-08,2,43,peopl countri mani good great new secur border militari bad,173.75,238.25
2017-08,3,22,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,253.25,286.25
2017-08,4,21,north meet korea china discuss includ presid big leav readi,301.25,332.75
2017-08,5,22,tax cut obamacar healthcar work great republican plan big american,347.75,380.75
2017-08,6,8,democrat deal russia want obama dem russian talk polit hillari,395.75,407.75
2017-08,7,28,news job fake media year report stori like elect market,422.75,464.75
2017-08,8,8,great congratul thank peopl nation work night florida minist prime,479.75,491.75
2017-08,9,26,great thank america make state today honor unit presid whitehous,506.75,545.75
2017-09,0,25,vote republican senat hous win elect gener democrat john let,44.75,82.25
2017-09,1,46,time look join day live forward realdonaldtrump nation tonight women,97.25,166.25
2017-09,2,56,peopl countri mani good great new secur border militari bad,181.25,265.25
2017-09,3,14,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,280.25,301.25
2017-09,4,24,north meet korea china discuss includ presid big leav readi,316.25,352.25
2017-09,5,22,tax cut obamacar healthcar work great republican plan big american,367.25,400.25
2017-09,6,4,democrat deal russia want obama dem russian talk polit hillari,415.25,421.25
2017-09,7,9,news job fake media year report stori like elect market,436.25,449.75
2017-09,8,35,great congratul thank peopl nation work night florida minist prime,464.75,517.25
2017-09,9,32,great thank america make state today honor unit presid whitehous,532.25,580.25
2017-10,0,20,vote republican senat hous win elect gener democrat john let,56.75,86.75
2017-10,1,38,time look join day live forward realdonaldtrump nation tonight women,101.75,158.75
2017-10,2,43,peopl countri mani good great new secur border militari bad,173.75,238.25
2017-10,3,13,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,253.25,272.75
2017-10,4,9,north meet korea china discuss includ presid big leav readi,287.75,301.25
2017-10,5,41,tax cut obamacar healthcar work great republican plan big american,316.25,377.75
2017-10,6,22,democrat deal russia want obama dem russian talk polit hillari,392.75,425.75
2017-10,7,38,news job fake media year report stori like elect market,440.75,497.75
2017-10,8,14,great congratul thank peopl nation work night florida minist prime,512.75,533.75
2017-10,9,13,great thank america make state today honor unit presid whitehous,548.75,568.25
2017-11,0,23,vote republican senat hous win elect gener democrat john let,82.25,116.75
2017-11,1,38,time look join day live forward realdonaldtrump nation tonight women,131.75,188.75
2017-11,2,31,peopl countri mani good great new secur border militari bad,203.75,250.25
2017-11,3,7,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,265.25,275.75
2017-11,4,24,north meet korea china discuss includ presid big leav readi,290.75,326.75
2017-11,5,28,tax cut obamacar healthcar work great republican plan big american,341.75,383.75
2017-11,6,5,democrat deal russia want obama dem russian talk polit hillari,398.75,406.25
2017-11,7,13,news job fake media year report stori like elect market,421.25,440.75
2017-11,8,18,great congratul thank peopl nation work night florida minist prime,455.75,482.75
2017-11,9,30,great thank america make state today honor unit presid whitehous,497.75,542.75
2017-12,0,17,vote republican senat hous win elect gener democrat john let,118.25,143.75
2017-12,1,20,time look join day live forward realdonaldtrump nation tonight women,158.75,188.75
2017-12,2,22,peopl countri mani good great new secur border militari bad,203.75,236.75
2017-12,3,16,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,251.75,275.75
2017-12,4,4,north meet korea china discuss includ presid big leav readi,290.75,296.75
2017-12,5,32,tax cut obamacar healthcar work great republican plan big american,311.75,359.75
2017-12,6,0,democrat deal russia want obama dem russian talk polit hillari,374.75,374.75
2017-12,7,22,news job fake media year report stori like elect market,389.75,422.75
2017-12,8,11,great congratul thank peopl nation work night florida minist prime,437.75,454.25
2017-12,9,25,great thank america make state today honor unit presid whitehous,469.25,506.75
2018-01,0,21,vote republican senat hous win elect gener democrat john let,104.75,136.25
2018-01,1,16,time look join day live forward realdonaldtrump nation tonight women,151.25,175.25
2018-01,2,43,peopl countri mani good great new secur border militari bad,190.25,254.75
2018-01,3,19,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,269.75,298.25
2018-01,4,8,north meet korea china discuss includ presid big leav readi,313.25,325.25
2018-01,5,13,tax cut obamacar healthcar work great republican plan big american,340.25,359.75
2018-01,6,12,democrat deal russia want obama dem russian talk polit hillari,374.75,392.75
2018-01,7,20,news job fake media year report stori like elect market,407.75,437.75
2018-01,8,11,great congratul thank peopl nation work night florida minist prime,452.75,469.25
2018-01,9,24,great thank america make state today honor unit presid whitehous,484.25,520.25
2018-02,0,20,vote republican senat hous win elect gener democrat john let,128.0,158.0
2018-02,1,16,time look join day live forward realdonaldtrump nation tonight women,173.0,197.0
2018-02,2,21,peopl countri mani good great new secur border militari bad,212.0,243.5
2018-02,3,15,trump foxandfriend presid donald true administr approv regul realdonaldtrump isi,258.5,281.0
2018-02,4,8,north meet korea china discuss includ presid big leav readi,296.0,308.0
2018-02,5,16,tax cut obamacar healthcar work great republican plan big american,323.0,347.0
2018-02,6,21,democrat deal russia want obama dem russian talk polit hillari,362.0,393.5
2018-02,7,13,news job fake media year report stori like elect market,408.5,428.0
2018-02,8,15,great congratul thank peopl nation work night florida minist prime,443.0,465.5
2018-02,9,11,great thank america make state today honor unit presid whitehous,480.5,497.0
