time,text,parsed_text,rate,year,month,day,timevalue,person
2017-03-22 00:47:49,"trump,repealandreplace,obamacare,retweet",President Trump #RepealAndReplace #Obamacare. Retweet too.,902,2017,3,22,0.6769999999999996,ryan
2017-03-13 13:56:46,"pres,trump,core principles,congress,health care","Last month, Pres. Trump laid 5 core principles guide Congress move create better health care",883,2017,3,13,0.38700000000000045,ryan
2017-03-15 21:05:10,"postopinions,donald,tax plan,trump,@ cgfaricy",@PostOpinions: Donald tax plan would mean huge breaks millionaires like Trump @cgfaricy,736,2017,3,15,0.45199999999999996,sanders
2017-03-17 23:25:00,"wall,trump,funny way","For someone talked draining swamp standing Wall Street, Trump funny way so.",724,2017,3,17,0.516,sanders
2017-03-18 22:28:00,"wall,trump,funny way","For someone talked draining swamp standing Wall Street, Trump funny way so.",724,2017,3,18,0.548,sanders
2017-03-19 01:01:00,"trump,republican,party turning backs",Trump rest Republican party turning backs working rural Americans seniors.,724,2017,3,19,0.5809999999999995,sanders
2017-03-29 15:05:27,"newsweek,bernie,trump",@Newsweek: How Bernie ideas winning Trump era,716,2017,3,29,0.9030000000000005,sanders
2017-03-24 15:12:00,"trump,health care",Trump promised Apparently include 24 million taking health care away from.,699,2017,3,24,0.7420000000000009,sanders
2017-03-12 12:36:59,"americafirstpol,trump,historic journey,white house,historic journey","@AmericaFirstPol: Trump led historic journey White House. 50 days in, historic journey continues. Take look",677,2017,3,12,0.3550000000000004,trump
2017-03-10 15:49:29,"@ brianschatz,huge corporation,america,zero taxes,berniesanders,bill fix",@brianschatz: No huge corporation operating America pay zero taxes. @BernieSanders I introduced bill fix that.,655,2017,3,10,0.28999999999999915,sanders
2017-03-17 14:46:56,"cbsnews,moments ago,pres,trump,house conservatives,health care plan","@CBSNews: MOMENTS AGO: Pres. Trump meets House conservatives, says health care plan",641,2017,3,17,0.516,ryan
2017-03-05 17:30:11,"thank,great rallies,tremendous,america",Thank great rallies across country. Tremendous support. Make America Great Again!,638,2017,3,5,0.12899999999999956,trump
2017-03-02 17:15:28,"justice department,facts ties,trump,jeff sessions",We need Justice Department give us facts ties Trump campaign. Jeff Sessions resign.,629,2017,3,2,0.03200000000000003,sanders
2017-03-23 17:07:20,"premiums insurance monopolies counties,america,obamacare","From skyrocketing premiums insurance monopolies counties across America, #Obamacare experiment",627,2017,3,23,0.7100000000000009,ryan
2017-03-15 11:00:30,"mariabartiromo,morningsmaria,foxbusiness,speakerryan,et,obamacare,# gop",@MariaBartiromo: This morning join us live @MorningsMaria @FoxBusiness @SpeakerRyan 8am ET. #Obamacare #GOP,619,2017,3,15,0.45199999999999996,ryan
2017-03-11 15:53:26,"trump,avoid,zika deal",Trump Should Avoid Bad Zika Deal,618,2017,3,11,0.3230000000000004,sanders
2017-03-23 01:04:32,"@ mitchellvii,trump",@mitchellvii: Trump always ends right. almost little freaky.,618,2017,3,23,0.7100000000000009,trump
2017-03-19 21:31:44,"defense budget,trump",The largest defense budget next 12 nations combined. But Trump wants more.,617,2017,3,19,0.5809999999999995,sanders
2017-03-16 16:00:27,trump,President Trump arrived Capitol. Tune live right remarks.,616,2017,3,16,0.484,ryan
2017-03-14 20:31:23,"vp,rising,choices signal,obamacare,american people,obamacare",@VP: Rising premiums plummeting choices signal Obamacare American people know it. Obamacare failed,565,2017,3,14,0.4190000000000005,ryan
2017-03-13 12:06:57,"repsmucker,american health,care,people conditions,watch,speakerryan,ahca",@RepSmucker: The American Health Care Act protect people conditions. Watch @SpeakerRyan explain how. #AHCA,560,2017,3,13,0.38700000000000045,ryan
2017-03-16 21:55:41,"waysandmeansgop,america,needs tax code leapfrog,betterway blueprint",@WaysandMeansGOP: America needs tax code leapfrog us back lead pack. Our #BetterWay Blueprint delivers it.,539,2017,3,16,0.484,ryan
2017-03-21 16:28:01,"republican,health care plan,massive tax,america",We call Republican health care plan really is: massive tax break wealthiest America.,530,2017,3,21,0.6449999999999996,sanders
2017-03-17 21:09:32,"kencalvert,speakerryan,obamacare,repealandreplace",@KenCalvert: @SpeakerRyan years Obamacare #RepealandReplace,528,2017,3,17,0.516,ryan
2017-03-23 11:30:30,"gopleader,keeping,obamacare,speakerryan,wsj","@GOPLeader: Keeping promise repeal ObamaCare, writes @SpeakerRyan via @WSJ",515,2017,3,23,0.7100000000000009,ryan
2017-03-24 14:31:26,"repkevinbrady,clear stand @,potus,stand #,obamacare,@ realdonaldtrump",@RepKevinBrady: The choice clear stand @POTUS stand #Obamacare. I stand @realDonaldTrump,505,2017,3,24,0.7420000000000009,ryan
2017-03-13 18:10:56,"guardianus,bernie,young progressives,america",@GuardianUS: Bernie advice young progressives America,504,2017,3,13,0.38700000000000045,sanders
2017-03-23 11:00:31,"johncornyn,keeping,obamacare,speakerryan,wsjopinion","@JohnCornyn: Keeping promise repeal ObamaCare, writes @SpeakerRyan via @WSJOpinion",482,2017,3,23,0.7100000000000009,ryan
2017-03-21 02:38:44,"foxnews,obamacare,republican","@FoxNews: said would repeal replace #Obamacare give us Republican President, House",478,2017,3,21,0.6449999999999996,ryan
2017-03-16 21:38:20,"cnnsitroom,house @,speakerryan,obamacare",@CNNSitRoom: House @SpeakerRyan: like Obamacare. The law,477,2017,3,16,0.484,ryan
2017-03-18 19:43:20,"foxnews,tomorrow,foxnewssunday,chris wallace,exclusive @,speakerryan,tune 2p 10p,et fox","@FoxNews: TOMORROW @FoxNewsSunday, Chris Wallace exclusive @SpeakerRyan Tune 2p 10p ET Fox",457,2017,3,18,0.548,ryan
2017-03-16 21:15:36,"meetthepress,obamacare,death health people buying,obamacare",@MeetThePress: Obamacare death health people buying Obamacare. paying fine,452,2017,3,16,0.484,ryan
2017-03-17 12:26:12,"americafirstpol,major impact,potus trump,america,right track,maga",@AmericaFirstPol: MAJOR IMPACT: @POTUS Trump 50 Days moving swiftly get America back right track. #MAGA,450,2017,3,17,0.516,trump
2017-03-21 18:44:04,"housegop,repealandreplace,speakerryan","@HouseGOP: in, #RepealAndReplace @SpeakerRyan",442,2017,3,21,0.6449999999999996,ryan
2017-03-24 14:37:54,"repabraham,promising repeal,obamacare,obamacare",@RepAbraham: I ran office promising repeal Obamacare. My choice today: keep Obamacare keep promise. I vote keep,442,2017,3,24,0.7420000000000009,ryan
2017-03-21 22:04:54,"haideralabadi,speakerryan,iraq,support us,congress",@HaiderAlAbadi: Good meet @SpeakerRyan earlier today Capitol. Iraq looks forward continued support US Congress,441,2017,3,21,0.6449999999999996,ryan
2017-03-23 22:12:29,"govmattbevin,appreciate,hard work @,speakerryan,housegop,ahca",@GovMattBevin: Appreciate hard work @SpeakerRyan @HouseGOP #AHCA.,441,2017,3,23,0.7100000000000009,ryan
2017-03-08 21:25:22,"@ joshfoxfilm,bernie,live,tomorrow,# banfrackingnow @,berniesanders,people4bernie",@joshfoxfilm: Yes heard right. Me. Bernie. Live. Tomorrow. Tune in. #banfrackingnow @BernieSanders @People4Bernie,439,2017,3,8,0.22600000000000087,sanders
2017-03-17 17:17:23,"sync @,potus,administration #,repealandreplace,obamacare,nrisummit17",sync @POTUS administration #RepealAndReplace #Obamacare. #NRISummit17,431,2017,3,17,0.516,ryan
2017-03-16 19:45:04,"foxnews,foxnewssunday,chris wallace,exclusive @,speakerryan,tune 2p 10p,fox,news channel","@FoxNews: On @FoxNewsSunday, Chris Wallace exclusive @SpeakerRyan Tune 2p 10p Fox News Channel!",429,2017,3,16,0.484,ryan
2017-03-31 18:57:00,"unbelievably,wealth bottom,america,waltons,wealth bottom","Unbelievably, 20 Americans much wealth bottom half America. One family, Waltons, owns wealth bottom",429,2017,3,31,0.968,sanders
2017-03-24 13:34:18,"cnnsotu,join,cnnsotu,interview sen. @,berniesanders",@CNNSotu: Join us Sunday #CNNSOTU interview Sen. @BernieSanders,426,2017,3,24,0.7420000000000009,sanders
2017-03-24 01:45:44,"potus,disastrous,obamacare,repealandreplace",@POTUS: Disastrous #Obamacare led higher costs fewer options. It continue get worse! We must #RepealANDReplace.,425,2017,3,24,0.7420000000000009,ryan
2017-03-24 15:30:56,"waysandmeansgop,american health,care,act bold,conservative health care reform,congress",@WaysandMeansGOP: The American Health Care Act bold conservative health care reform come Congress decades,423,2017,3,24,0.7420000000000009,ryan
2017-03-14 19:54:02,"foxnews,tonight,speakerryan,talks @ marthamaccallum,tune 7p,et fox,news channel,first100",@FoxNews: TONIGHT: @SpeakerRyan talks @marthamaccallum First 100 Tune 7p ET Fox News Channel. #First100,420,2017,3,14,0.4190000000000005,ryan
2017-03-03 20:48:21,"fix education system kids,america,wonderful,saint andrew orlando",We must fix education system kids Make America Great Again. Wonderful day Saint Andrew Orlando.,416,2017,3,3,0.0649999999999995,trump
2017-03-13 19:14:02,"bretbaier,speakerryan,specialreport,foxnews",@BretBaier: miss @SpeakerRyan tonight #SpecialReport @FoxNews,411,2017,3,13,0.38700000000000045,ryan
2017-03-14 16:12:22,"great optimism,america",Great optimism America results even better!,409,2017,3,14,0.4190000000000005,trump
2017-03-08 11:13:44,"international day,critical role women,america","On International Day, join honoring critical role women America around world.",408,2017,3,8,0.22600000000000087,trump
2017-03-06 21:22:15,"jobs gulf coast region,america","construction manufacturing jobs Gulf Coast region. billion investment. We already winning again, America!",407,2017,3,6,0.1609999999999996,trump
2017-03-28 16:57:30,"foxnews,government run healthcare system,speakerryan",@FoxNews: want government run healthcare system. We agree @SpeakerRyan,400,2017,3,28,0.8710000000000004,ryan
2017-03-07 03:49:54,"buy,american principles core agenda,jobs,jobs,jobs,thank,@ exxonmobil","Buy American hire American principles core agenda, is: JOBS, JOBS, JOBS! Thank @exxonmobil.",397,2017,3,7,0.19400000000000084,trump
2017-03-09 19:18:03,"@ joshfoxfilm,watch,berniesanders,fb",@joshfoxfilm: Watch @BernieSanders I FB page today!,392,2017,3,9,0.2579999999999991,sanders
2017-03-24 13:48:01,"potus,horrible years,obamacare,premiums deductibles","@POTUS: After seven horrible years ObamaCare premiums deductibles, bad finally chance",385,2017,3,24,0.7420000000000009,ryan
