level_0,word,total
2,great,466
8,thank,181
7,news,173
5,tax,166
1,today,161
2,peopl,160
3,presid,158
7,job,145
7,fake,143
5,american,133
5,big,133
6,democrat,133
6,year,133
2,work,131
9,america,126
0,republican,126
2,countri,124
9,state,123
9,honor,112
3,trump,112
5,cut,107
1,day,106
9,make,103
2,mani,100
0,senat,100
1,nation,99
2,want,99
0,time,96
2,meet,94
2,new,94
3,foxandfriend,86
1,look,85
7,media,81
0,vote,80
0,elect,77
2,good,76
1,realdonaldtrump,72
6,dem,71
0,hous,68
5,obamacar,68
4,korea,67
2,militari,67
9,unit,67
5,come,66
2,help,65
2,need,65
6,deal,64
5,hard,64
5,healthcar,64
8,just,63
6,total,62
4,north,61
7,report,60
7,market,54
6,russia,54
7,stori,54
7,like,53
2,secur,53
2,border,52
9,wonder,52
3,obama,51
7,stock,51
0,win,51
7,record,50
2,thing,50
1,foxnew,49
1,join,49
9,welcom,49
9,whitehous,47
6,clinton,46
1,famili,46
9,support,46
8,congratul,45
3,administr,44
0,fbi,44
6,hillari,44
0,said,44
2,way,44
2,bad,43
6,talk,43
4,china,42
9,happi,42
1,live,41
6,russian,41
9,togeth,41
9,world,41
7,sinc,40
0,long,39
7,rate,38
1,women,38
5,massiv,37
2,order,37
0,white,37
9,leader,36
3,approv,35
4,head,35
8,night,35
0,congress,33
5,plan,33
6,stop,33
1,wall,33
1,forward,32
5,law,32
8,stand,32
5,repeal,31
7,cnn,30
2,crime,30
3,campaign,29
5,compani,29
0,gener,29
4,leav,29
0,act,28
9,crook,28
6,polit,28
2,protect,28
8,proud,28
5,reform,28
8,florida,27
5,histori,27
0,let,27
1,men,27
8,minist,27
1,rememb,27
8,respect,27
8,believ,26
7,busi,26
6,collus,26
6,govern,26
6,money,26
3,month,26
4,includ,25
1,tonight,25
4,discuss,24
8,prime,24
4,week,24
5,biggest,23
1,interview,23
6,noth,23
8,alabama,22
0,member,22
5,soon,22
7,nytim,21
4,readi,21
3,regul,21
8,terribl,21
1,enjoy,20
1,ivankatrump,20
3,TRUE,20
3,donald,19
0,forc,19
0,john,19
3,2017,18
4,begin,18
0,sad,18
3,gave,17
3,harvey,17
3,isi,17
9,morn,17
4,special,17
6,problem,15
3,person,14
3,franc,13
4,futur,13
3,ivanka,8
3,inaugur,3
