2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,word,topic,total
9,5,3,10,11,23,15,15,16,5,15,7,great,2,134
5,4,10,14,16,17,6,25,5,9,12,9,news,7,132
2,6,3,8,1,6,10,26,22,32,8,6,tax,5,130
5,5,13,13,17,17,5,20,5,10,9,6,fake,7,125
12,10,6,11,7,8,19,7,10,17,10,7,great,9,124
2,3,2,10,11,7,23,11,5,8,9,2,peopl,2,93
7,3,6,11,8,9,8,6,7,15,9,3,america,9,92
2,1,1,5,0,4,6,17,18,22,9,6,cut,5,91
4,2,4,4,9,7,18,10,12,3,7,4,thank,8,84
9,1,5,4,5,8,3,15,12,5,4,7,great,5,78
6,11,9,8,3,3,10,2,7,5,9,5,honor,9,78
2,3,3,4,5,9,14,9,6,5,14,2,countri,2,76
3,4,4,9,4,14,6,5,4,5,14,4,trump,3,76
2,6,6,7,19,3,7,8,1,3,7,5,republican,0,74
3,4,6,10,7,0,4,7,6,7,11,8,democrat,0,73
8,3,3,7,5,7,8,4,5,14,4,1,make,9,69
5,3,2,6,6,9,8,8,4,9,3,5,american,5,68
7,7,6,3,4,5,3,6,7,6,9,5,today,9,68
0,0,5,7,23,6,6,5,4,2,6,2,senat,0,66
1,5,1,4,6,13,15,2,10,2,1,3,korea,4,63
2,2,4,5,7,8,13,5,3,5,5,4,mani,2,63
3,6,2,4,6,9,12,0,9,4,3,4,state,9,62
0,6,3,7,16,0,10,8,4,4,2,2,vote,0,62
3,0,3,3,5,8,4,16,7,9,1,3,work,5,62
4,4,4,4,2,1,9,2,12,7,7,3,day,1,59
2,3,10,6,8,9,2,4,2,5,4,3,media,7,58
1,8,1,4,5,12,13,3,6,2,2,1,north,4,58
7,5,3,11,8,11,0,1,2,3,3,2,foxandfriend,3,56
0,3,2,3,6,2,21,6,4,4,3,2,great,8,56
4,3,3,9,3,6,5,4,6,3,3,5,presid,3,54
3,3,2,7,7,6,2,7,5,5,3,4,time,1,54
1,3,4,1,2,7,9,7,7,3,2,5,nation,1,51
4,3,2,9,8,6,4,3,2,2,5,3,new,2,51
7,4,7,3,10,4,2,4,6,1,1,1,job,7,50
5,6,4,3,3,4,5,9,6,2,1,1,look,1,49
0,1,0,5,0,6,15,8,5,2,0,3,realdonaldtrump,1,45
8,3,7,7,10,1,3,4,1,0,0,0,healthcar,5,44
0,2,1,1,6,6,4,5,4,3,9,3,militari,2,44
9,4,5,7,7,2,1,5,3,1,0,0,obamacar,5,44
1,5,2,3,5,5,10,0,8,1,2,2,unit,9,44
3,2,6,3,3,3,2,9,5,3,2,1,big,5,42
1,8,0,1,3,9,3,1,2,1,8,4,border,2,41
5,4,4,1,5,1,2,4,1,4,2,8,elect,0,41
0,1,2,2,4,2,8,7,4,4,6,1,good,2,41
3,1,4,3,8,4,5,1,6,0,3,3,meet,4,41
3,0,2,3,9,2,2,5,6,4,0,4,republican,5,40
0,5,3,4,1,4,3,4,0,,9,6,want,6,39
3,2,3,3,5,3,0,6,1,3,5,4,report,7,38
4,2,5,1,2,6,5,2,6,3,1,1,thank,9,38
2,7,4,2,5,1,1,1,12,1,0,1,china,4,37
4,1,2,3,4,4,6,4,3,3,2,1,join,1,37
3,1,0,2,4,2,0,6,6,8,3,2,year,7,37
2,4,3,7,3,2,0,8,1,3,2,1,stori,7,36
3,3,2,2,9,2,4,1,2,3,3,2,win,0,36
2,2,2,8,6,1,3,0,6,2,2,1,hous,0,35
0,2,1,4,5,7,2,0,1,0,11,2,secur,2,35
1,0,0,0,7,3,1,10,2,3,5,2,market,7,34
1,5,3,3,3,3,4,2,4,2,3,1,presid,9,34
1,4,1,4,2,1,0,4,2,,8,6,democrat,6,33
0,4,0,2,7,2,2,2,9,0,2,1,presid,4,31
7,4,2,3,2,0,1,2,4,3,2,1,whitehous,9,31
7,1,4,5,3,1,1,4,0,,1,2,russia,6,29
1,0,1,3,4,4,2,4,2,3,3,1,live,1,28
2,6,4,1,3,0,3,4,3,1,0,0,forward,1,27
1,0,0,0,4,2,1,8,3,3,4,1,stock,7,27
1,2,1,2,1,3,0,8,1,,4,3,deal,6,26
3,2,0,6,4,1,1,5,2,,1,1,hillari,6,26
3,3,6,4,2,0,2,0,3,0,3,0,welcom,9,26
4,0,1,0,5,3,1,1,4,2,5,0,women,1,26
1,2,2,1,4,1,3,3,3,1,1,3,bad,2,25
0,1,3,5,0,1,0,9,2,,1,3,dem,6,25
4,2,3,1,3,3,4,0,1,1,1,2,plan,5,25
3,0,1,3,2,2,1,2,6,2,0,2,hard,5,24
3,2,3,1,1,3,3,3,1,2,1,1,today,1,24
2,0,2,1,1,3,4,3,3,1,1,2,big,4,23
1,1,2,0,1,1,4,4,0,1,3,4,administr,3,22
0,0,3,1,2,4,1,1,1,4,4,1,like,7,22
1,1,0,0,0,4,3,1,4,4,2,2,reform,5,22
6,0,1,4,2,2,0,0,0,,0,7,russian,6,22
3,1,2,4,0,1,2,1,2,1,3,1,american,1,21
3,1,1,2,4,2,1,6,0,0,1,0,elect,7,21
2,1,0,6,1,1,0,3,1,,1,5,obama,6,21
0,0,0,1,2,1,9,1,3,0,1,3,peopl,8,21
1,0,2,2,6,0,2,1,4,0,2,0,let,0,20
2,1,4,2,1,0,2,1,4,0,2,1,minist,8,20
2,1,4,2,1,0,2,1,4,0,2,1,prime,8,20
2,1,0,1,2,1,0,8,2,0,2,1,sinc,7,20
3,2,0,0,0,4,3,7,0,1,0,0,tonight,1,20
0,3,0,1,0,1,2,1,1,2,8,1,want,2,20
0,1,0,0,0,0,9,0,1,2,1,5,florida,8,19
0,0,0,0,0,0,10,3,2,0,2,2,work,8,19
1,1,0,5,3,1,0,4,0,,1,2,clinton,6,18
1,0,1,4,1,1,1,4,1,1,1,2,cnn,7,18
1,0,2,1,2,1,0,1,2,5,0,3,congratul,8,18
2,3,0,1,0,2,1,3,0,2,2,1,approv,3,17
